A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
8.9953,2.8929,2.1169,6.1092,6.504,FL
8.5236,1.6164,2.2709,5.496,6.2295,FL
8.3845,1.3754,1.553,5.2505,6.1564,FL
8.8048,1.8659,1.5023,5.9832,6.335,FL
8.6335,1.4053,1.7403,6.0336,6.1336,FL
9.1411,1.279,1.5482,6.0543,6.8643,FL
8.2399,1.279,1.4388,5.0699,6.588,FL
9.0899,3.1193,2.16,5.8725,6.7429,FL
9.6291,1.279,1.5674,6.6591,7.0471,FL
9.1637,1.3155,1.8697,6.085,6.8079,FL
8.4327,1.279,2.1361,5.5047,6.1035,FL
8.8625,1.3532,1.5225,5.8429,6.5794,FL
9.3749,1.3358,1.4783,5.9502,6.9506,FL
9.2368,1.3442,1.676,6.1444,6.8368,FL
9.2854,1.466,2.1424,6.5197,6.9465,FL
8.7293,1.279,1.3403,5.7229,6.354,FL
9.1573,1.3176,1.3382,6.4162,6.8534,FL
8.8232,1.3457,1.5641,5.9316,6.5471,FL
9.4141,1.3614,1.833,6.1921,6.8427,FL
9.5865,1.3202,1.3755,6.6055,6.9065,FL
9.1039,1.3888,1.5142,6.1389,6.6984,FL
9.165,1.279,1.4758,5.8583,7.0185,FL
9.1603,1.279,1.5076,6.2228,7.0545,FL
9.4517,1.279,2.5238,6.2474,7.0546,FL
9.3289,1.3878,2.4616,6.3522,7.5799,FL
9.494,1.279,1.3396,6.4041,7.1144,FL
9.4199,1.279,1.3462,6.815,7.0344,FL
9.3472,1.6504,1.6589,6.0338,6.7629,FL
9.5562,1.4833,1.7893,6.7677,7.1842,FL
9.1791,1.7105,1.8439,6.0493,6.7616,FL
9.6655,1.3355,1.6314,6.7645,7.1432,FL
9.8694,1.4169,1.5892,6.7286,7.1279,FL
9.8018,1.4065,1.5631,6.7162,7.1307,FL
8.651,2.6048,1.6973,5.8693,6.5887,FL
9.64,1.6364,2.1968,7.0058,7.4253,FL
9.3874,1.4763,1.8903,6.4181,7.0958,FL
9.2527,1.5602,2.0813,6.2536,6.7972,FL
9.5846,1.279,1.279,6.9065,7.1623,FL
9.0014,1.6879,1.7946,6.1722,6.5845,FL
8.8691,1.5925,1.9203,6.46,6.8875,FL
7.8683,2.2448,1.4016,4.9835,5.8617,FL
7.374,2.4376,1.4719,4.6676,5.876,FL
7.5799,2.5226,1.4852,4.9952,5.4039,FL
8.7415,1.3246,1.3495,5.9574,6.2754,FL
7.4109,1.3382,1.3457,4.5103,5.7976,FL
9.2894,1.3308,1.3409,6.4206,6.9072,FL
9.5102,1.279,1.6145,6.6217,7.3196,FL
9.3795,1.4594,1.3462,6.9105,7.1601,FL
9.139,1.4207,3.3741,6.4212,6.7226,FL
8.6079,1.3533,2.0691,5.5781,6.2605,FL
9.1363,1.3266,2.8135,6.4461,6.7559,FL
9.8836,1.4866,1.8641,6.4865,7.4829,FL
8.9707,1.3723,1.5098,5.8433,7.0833,FL
9.2975,2.3623,1.4508,6.4335,7.0286,FL
9.9114,1.5205,1.5746,7.2653,7.5684,FL
9.6189,1.4603,1.7209,6.4512,7.2135,FL
9.7777,1.3539,1.7108,6.6814,7.1329,FL
8.9361,1.3722,1.704,5.9602,6.5868,FL
9.562,1.5046,1.6937,6.6608,7.06,FL
9.8087,1.4586,2.2728,7.0162,7.2288,FL
10.0682,1.3186,1.3464,7.0054,7.5423,FL
8.7231,1.3284,2.0681,5.6052,6.2263,FL
8.9329,1.5244,1.5383,6.2876,6.6047,FL
8.4154,1.8193,1.3837,5.551,6.073,FL
8.8892,1.3186,1.363,5.8643,6.7233,FL
8.8276,2.0535,1.7155,5.9886,6.6362,FL
9.0154,1.451,1.5838,6.308,6.7526,FL
9.167,1.279,1.5605,6.2035,6.648,FL
9.2887,1.279,1.4893,6.2541,7.0681,FL
9.4235,1.279,1.279,6.4832,6.755,FL
8.8996,1.5636,1.6758,6.1688,6.6052,FL
9.2034,1.9262,2.1981,6.3977,6.7647,FL
9.6842,1.451,1.951,6.2524,7.077,FL
9.5721,1.2992,1.4966,6.487,6.8279,FL
9.2193,1.6165,1.7404,6.2831,6.8259,FL
8.7146,1.279,1.6275,5.8761,6.4233,FL
8.6866,1.279,1.5323,5.5408,6.3474,FL
8.8056,1.3334,2.4321,6.1409,6.4449,FL
9.156,1.279,1.279,6.2427,6.3847,FL
9.6053,1.3202,2.4525,6.1525,7.0117,FL
8.8379,2.0812,2.7339,6.1371,6.5512,FL
8.6695,1.279,1.7635,5.7616,6.4817,FL
9.0754,1.279,1.5508,5.946,6.8135,FL
9.1678,1.279,1.3355,6.1655,6.9713,FL
9.3418,1.3702,1.5249,5.9731,6.7312,FL
9.5153,1.3186,1.3712,6.5797,6.9281,FL
8.9777,2.2934,1.3495,5.8383,6.352,FL
9.1326,1.4797,1.6378,5.9802,6.7576,FL
8.8131,1.6444,1.7619,5.9143,6.4596,FL
8.6195,1.3941,1.7159,5.7107,6.183,FL
8.613,1.3384,1.3326,5.7981,6.3055,FL
8.6794,1.279,2.2093,5.7607,6.426,Ins
9.496,1.279,1.7502,6.4019,7.1815,Ins
8.4858,1.5332,1.8858,5.5797,6.3813,Ins
9.2114,1.279,1.3384,5.9555,6.8797,Ins
8.5078,1.4759,1.693,5.5334,6.1955,Ins
8.2596,1.5231,1.7321,5.6817,6.1507,Ins
8.5152,1.3097,1.3759,5.5919,6.3314,Ins
8.6163,1.4072,1.9233,5.2224,6.3539,CgG
8.1043,2.5612,1.8236,5.2921,5.7189,CgG
8.623,1.4826,1.777,5.6384,6.2475,CgG
8.6477,1.4016,1.736,5.6979,6.2911,CgG
8.8297,1.3396,1.3628,6.1742,6.4376,CgG
7.7825,1.3326,2.1525,5.0144,6.0017,CgG
7.9014,1.4047,1.9398,4.8241,6.0289,CgG
7.8095,1.4835,1.63,5.1909,5.9432,CgG
8.4349,1.279,1.6347,5.7838,6.215,CgG
8.3841,2.5802,1.7071,5.7091,6.2311,CgG
8.9536,1.3479,3.6198,5.5127,6.5406,CgG
8.7769,1.4737,2.5703,6.0212,6.6439,CgG
8.4334,1.3729,1.5064,5.3548,6.286,CgG
8.4373,1.8386,1.8502,4.9233,6.5132,CgG
8.8166,1.5224,1.4579,6.2224,6.6169,CgG
7.9162,1.391,2.0519,5.0459,5.8073,CgG
8.574,1.6267,1.7853,5.5343,6.3867,CgG
8.6957,1.896,1.695,5.9279,6.279,CgG
9.5121,1.7278,1.7045,7.1446,7.4183,CgG
9.2722,2.2693,1.8156,6.3906,6.9212,CgG
8.9405,1.6397,2.069,5.8746,6.4877,CgG
9.0507,1.5434,2.0984,5.9293,6.7786,CgG
9.6364,1.6671,2.089,6.6573,7.3282,CgG
7.7385,1.5248,1.6852,4.6637,5.8919,CgG
8.9198,1.3771,1.7486,5.927,6.6892,CgG
9.1322,1.6997,1.7843,6.4976,7.0883,CgG
7.845,2.5646,1.6267,4.9309,5.9689,CgG
9.0306,1.4468,1.8114,5.9737,6.5082,CgG
7.9184,1.3411,2.5232,5.0064,5.8227,CgG
7.8602,1.3411,1.4645,5.0674,5.9487,CgG
7.7455,1.3855,1.9576,5.2077,5.9548,CgG
7.8033,1.279,2.228,3.9333,6.0158,HiF
8.3389,1.279,1.8252,5.5906,6.7248,HiF
7.8334,1.279,1.279,5.5542,6.5169,HiF
8.3403,1.5884,1.6754,5.3963,6.8457,HiF
9.5276,1.3778,2.5483,5.8366,7.1518,HiF
8.1774,1.8194,1.7745,4.5564,6.7167,HiF
8.2905,1.7932,1.626,5.1233,6.5011,HiF
7.8764,1.6042,2.3718,4.5516,6.304,HiF
8.8211,1.9143,1.3077,5.9505,6.5757,HiF
7.2867,1.6117,1.5142,4.1736,6.1574,HiF
7.4233,1.4745,1.5723,3.44,6.0658,HiF
8.0914,1.279,1.279,5.3267,6.7378,HiF
7.9914,1.2992,1.279,5.1293,6.6982,HiF
9.0485,1.5891,3.3048,5.7024,6.8048,HiF
7.5076,1.279,1.3186,4.8433,6.3756,HiF
7.0665,1.375,1.9978,4.81,6.6481,HiF
7.4589,1.279,1.279,5.1596,6.1611,HiF
7.2706,1.279,1.279,4.5167,6.5479,HiF
7.5802,1.4957,1.8892,5.1097,6.6503,HiF
8.1775,1.422,1.8572,5.4153,6.1814,HiF
7.5672,1.279,1.4725,4.7974,5.878,HiF
8.4078,1.8128,1.8677,5.1904,6.8949,HiF
9.1976,1.3326,1.462,5.9854,6.6044,HiF
8.8306,1.7412,1.6879,5.279,7.2302,HiF
8.6066,1.6084,1.5731,5.4909,6.7844,HiF
7.9021,1.6435,1.3671,4.8128,6.3973,HiF
7.8022,1.6583,1.672,4.9877,6.2718,HiF
8.8275,1.341,3.4935,5.9474,6.4156,HiF
8.0346,1.6251,1.6935,4.9063,6.7481,HiF
7.5516,1.279,1.279,4.7626,6.2472,HiF
8.8928,1.9029,1.8778,5.3157,6.8056,HiF
8.9453,1.8373,2.1343,4.9356,6.9642,HiF
8.2547,1.5137,1.8104,5.4039,6.9428,HiF
7.8863,1.589,1.577,4.8295,6.4806,HiF
7.706,1.6638,1.5116,5.0909,6.4755,HiF
8.7668,1.4153,1.433,6.0621,6.1222,HiF
7.2602,1.279,1.279,4.2805,5.7992,HiF
8.1393,2.1207,1.8498,5.6262,6.3102,HiF
8.941,1.5951,1.5741,5.2052,6.4922,HiF
8.6483,1.279,1.4062,5.2188,6.2899,HiF
8.2189,1.279,1.4065,5.7771,6.9443,HiF
7.842,1.6278,1.9091,4.9227,6.6245,HiF
7.7788,1.279,2.833,4.7339,6.2876,HiF
7.8009,1.497,3.5449,5.1891,6.4323,HiF
8.693,1.3838,2.6048,6.1462,6.4413,HiF
7.8842,1.4474,1.4738,5.1135,6.2743,HiF
8.2114,1.4278,1.5516,5.7242,6.4188,HiF
10.428,2.7189,1.279,7.6025,7.7626,HiF
9.4298,1.5249,1.5659,5.9471,6.6043,HiF
9.5,1.6074,1.845,6.234,7.249,HiF
8.5004,1.6134,1.5236,5.3375,6.9797,HiF
8.4454,2.7403,1.279,5.5769,7.0072,HiF
8.3398,1.279,1.425,5.6121,6.4606,HiF
7.7754,2.8225,1.6937,5.61,6.4913,HiF
7.4731,1.3355,1.3878,4.42,5.5743,PHG
8.0388,1.3464,1.4704,4.985,5.696,PHG
7.8491,1.3355,1.4045,4.5589,5.6542,PHG
7.5953,1.4825,1.3464,4.5088,5.7591,PHG
8.1365,2.3432,1.3658,5.2045,6.3548,PHG
8.3321,1.4744,2.0418,5.2464,6.2046,PHG
8.4381,1.4365,1.6969,4.5495,6.0033,PHG
7.8237,1.9464,1.6736,4.424,5.9559,PHG
8.6984,1.4481,1.5116,5.3578,6.6805,PHG
9.2936,1.4777,2.0645,5.9097,6.9111,OL
10.2521,1.6416,1.7376,7.5493,7.8401,OL
10.0055,1.3442,3.1313,7.1999,7.6149,OL
10.0754,1.5513,2.4389,7.3881,7.9798,OL
10.262,1.8109,1.8267,7.0883,7.8736,OL
9.8737,1.7664,2.5495,7.0838,7.6238,OL
10.2116,1.4854,1.58,7.2829,7.845,OL
9.91,1.6057,1.7139,7.1815,7.893,OL
9.5898,1.279,2.0083,6.8044,7.198,OL
9.8391,1.6107,1.8828,7.6946,7.8414,OL
9.7582,1.279,1.3358,6.7406,7.1691,OL
9.9799,1.279,2.0083,7.0518,7.636,OL
10.0355,1.4748,2.1003,7.8435,7.8334,OL
9.8192,1.8032,1.6225,6.7051,7.2647,OL
8.7887,1.5405,2.0073,6.2428,6.776,OL
9.4745,1.4867,3.1794,6.6728,7.1508,OL
9.8939,1.279,1.3411,6.8502,7.4595,OL
9.3312,2.0125,1.7112,6.2617,6.7963,OL
9.6645,1.4608,1.5398,6.9665,7.2094,OL
10.006,1.8653,1.9792,7.2891,7.7357,OL
9.7747,1.3751,1.6632,6.9786,7.407,OL
9.6938,1.4473,2.2647,6.5524,7.3854,OL
9.9455,1.6537,2.6646,7.7898,8.3307,OL
10.0067,1.5763,2.7466,7.2499,7.7413,OL
8.3449,2.846,1.6179,5.7568,6.1317,OL
9.865,1.4699,2.1088,6.5835,7.5564,OL
9.4465,1.6205,1.8856,6.9266,7.2057,OL
10.2013,1.5581,2.0675,7.1598,7.916,OL
10.0998,1.3409,1.5564,6.8965,7.5413,OL
10.3791,1.5847,2.8282,7.6514,7.8588,OL
10.3799,1.279,1.3702,7.4577,8.0657,OL
9.0249,2.0263,2.5826,6.3606,6.7562,OL
9.3371,1.6738,1.6756,6.6017,6.9364,OL
9.1267,1.3806,1.6762,5.753,6.5645,OL
9.5127,1.4387,1.6565,5.8083,7.2787,OL
8.5422,1.525,1.8341,5.7961,6.4642,OL
9.3875,1.3432,1.3837,6.7517,6.8361,OL
8.9483,1.6632,2.7318,6.3549,6.973,OL
8.8563,1.279,1.279,6.14,6.7201,OL
9.9787,1.5459,1.7795,7.011,7.5967,OL
9.8784,1.3186,1.3985,6.7845,7.2483,OL
10.1385,1.5343,1.7919,7.2289,7.585,OL
9.8018,1.6856,1.7975,7.4027,7.4598,OL
9.1791,1.2992,1.3891,6.1402,7.1125,OL
10.0193,1.3399,1.5892,7.1059,7.6179,OL
9.8823,1.279,1.4247,6.934,7.3441,PL
9.5064,1.7886,1.6863,6.296,7.2809,PL
9.401,1.5705,1.9246,6.533,7.2287,PL
9.3701,1.4146,1.7562,6.3606,7.0317,PL
8.7969,2.2839,1.9287,5.9276,6.5295,PL
9.2936,1.279,1.279,6.7518,6.8871,PL
9.0194,1.5668,1.8707,6.323,6.5315,PL
9.3414,1.4011,1.4804,6.2501,6.9082,PL
9.359,1.6841,1.6677,6.3691,6.9217,PL
8.9238,1.7383,1.866,6.4407,6.751,PL
9.4398,1.3409,1.9132,6.8291,6.9799,PL
9.1748,1.5221,3.1248,6.5567,7.0638,PL
9.3567,1.3457,1.3409,6.5953,6.934,PL
9.0285,1.558,1.645,6.504,6.8924,PL
9.3467,1.5969,1.8666,6.8121,7.1481,PL
9.262,1.3411,1.5297,6.3712,6.8683,PL
8.7975,2.238,1.5441,6.353,6.6344,PL
9.2329,1.7789,1.9646,6.954,7.2731,PL
9.3869,2.9635,2.0215,6.6374,7.1034,PL
9.5336,1.279,1.279,6.8285,7.1081,PL
9.8671,1.4071,1.4481,7.0415,7.4736,PL
9.2599,1.3462,1.3477,6.2647,6.6024,PL
9.6142,1.5451,1.6983,6.7636,7.2743,PL
9.8087,1.458,1.5377,7.2335,7.2057,PL
9.2219,1.3355,1.465,6.387,6.8184,PL
8.997,1.5425,2.6995,6.3226,6.3943,PL
9.1976,1.4817,1.5217,6.6169,7.227,PL
9.2327,1.7575,2.0484,6.2533,6.8917,PL
9.3174,1.5324,2.0979,6.8945,7.169,PL
9.418,3.2312,1.971,6.2974,7.0918,PL
9.6388,1.4621,1.47,7.217,7.4178,PL
9.7569,1.5041,1.943,6.6948,7.411,PL
9.8105,1.5891,2.1923,7.0983,7.4797,PL
9.6323,1.3585,1.6497,6.2848,7.1137,PL
9.42,1.5161,1.4945,6.7535,6.9262,PL
9.3391,1.7789,1.365,6.2558,6.8596,PL
8.7732,1.4091,1.4555,5.7507,6.8998,PL
8.8411,2.1117,2.1999,6.0492,6.6579,PL
9.7386,1.3943,1.4426,6.44,7.3282,PL
9.4962,1.6511,1.7339,6.8551,7.2201,PL
9.3696,1.4893,1.8234,6.328,7.0139,PL
9.1656,1.5709,2.2108,5.8576,6.8466,PL
9.7766,1.5981,1.6832,7.303,7.6654,PL
9.3417,1.7232,1.735,6.3886,6.9661,PL
9.3582,1.739,1.7866,6.7479,7.3019,PL
8.7769,2.6462,1.5287,5.8759,6.5087,PL
8.7021,1.545,1.792,5.4821,6.2228,PL
8.8773,2.4766,1.6409,6.0957,6.5132,PL
9.1411,1.279,1.279,6.5611,6.7045,PL
9.5028,1.5784,1.9874,6.3881,7.2019,PL
9.6614,1.7538,1.8515,7.2575,7.303,PL
8.9416,2.1625,1.6304,6.2339,6.4546,PL
9.1684,1.4205,1.7432,6.2494,6.7093,PL
9.5096,1.7269,2.0727,6.7136,7.2086,PL
9.3179,1.3382,3.0441,6.4767,7.1411,PL
9.2564,1.4247,2.6905,5.9894,7.0546,PL
9.3345,1.6649,2.1308,6.7496,7.2292,PL
7.9974,1.7724,2.1629,5.0404,6.09,TL
8.6972,1.5393,1.8499,5.8497,6.3974,TL
8.7065,1.7333,2.1936,6.4247,6.8665,TL
7.8907,2.0807,1.3747,5.3119,5.9148,TL
8.5882,1.3807,2.8375,5.4105,6.5947,TL
7.8829,1.279,1.3807,4.6703,5.7244,TL
7.9298,1.3751,1.5781,4.9609,5.9756,TL
7.6153,1.5997,1.8896,4.9862,5.8852,TL
9.0366,1.4784,1.9048,6.3525,6.7936,TL
8.7166,1.3819,2.4129,5.0984,6.4879,TL
8.5581,1.4046,1.647,5.5743,6.2868,TL
8.8058,1.4501,1.5249,5.7526,6.5413,TL
9.4199,1.4436,2.4142,6.5797,7.0333,TL
9.6802,1.279,1.3437,6.7572,7.3211,TL
8.9846,1.3409,2.3671,6.3135,6.5678,TL
9.0563,2.0072,1.409,6.0969,6.5584,TL
8.8467,1.4505,2.8576,6.234,6.5902,TL
9.094,1.7189,3.1177,6.6777,7.0336,TL
8.9336,1.3604,1.5818,5.8366,6.3621,TL
7.9486,2.1151,1.7718,5.1435,5.7623,TL
9.7089,1.4301,1.7511,6.7178,7.2401,TL
8.589,1.3568,1.3761,5.5827,6.438,TL
8.0996,2.47,1.6648,5.4041,6.0406,TL
8.4151,1.6705,1.7114,5.8079,6.1171,TL
9.0824,1.279,1.5994,5.8406,6.9786,TL
8.8847,1.6083,1.9277,5.9665,6.6416,TL
8.5483,1.6316,1.8632,6.014,6.6623,TL
8.7056,1.5215,2.1004,6.0288,6.6006,TL
9.0285,1.279,1.7474,6.1837,6.8198,TL
9.3421,1.4779,1.9498,6.0495,7.0404,TL
8.6136,1.4797,1.5929,5.8488,6.5354,TL
8.7298,1.4195,1.5116,5.762,6.6068,TL
8.4742,1.5455,1.7244,5.5585,6.493,TL
9.1686,1.5046,3.8751,6.2357,7.0716,TL
8.6185,1.4045,1.6486,5.6568,5.9848,TL
8.5375,2.685,1.7049,5.5224,6.2339,TL
8.9465,1.4671,1.683,4.9839,6.4376,TL
9.0744,1.5828,1.8044,6.0957,6.2327,TL
8.6641,1.3249,1.3674,5.7166,6.2182,TL
8.8616,1.5815,1.996,6.2218,6.7134,TL
9.1778,1.7129,1.9652,6.7681,7.2936,TL
8.8487,1.5636,1.6018,6.1523,6.596,TL
9.2107,1.3495,1.6565,6.1739,6.8142,TL
9.6139,1.3735,2.624,6.4345,7.0645,TL
8.64,1.8194,1.5823,5.3963,6.2974,TL
8.7659,1.6247,1.6755,6.0266,6.4877,TL
8.463,2.5463,1.6972,5.9543,6.1022,TL
8.7382,1.7928,1.6885,5.9456,6.6197,TL
9.0787,1.7422,1.8172,6.4173,7.1149,TL
9.3059,1.5269,1.4627,6.5024,6.8159,TL
8.8761,1.3348,1.4771,6.0616,6.5254,TL
8.7196,1.279,1.9232,5.9784,6.8952,TL
8.7529,2.7466,2.5742,5.9666,6.4785,TL
8.9091,1.6464,2.8489,6.3693,6.6884,TL
9.3545,1.4702,2.2204,6.2858,7.0449,TL
9.4507,1.598,2.0241,6.4176,7.2127,TL
7.7861,2.0493,1.4228,5.2385,6.0479,TL
8.9498,1.3202,2.2581,5.7976,6.5254,TL
8.1407,1.279,2.6773,5.7344,6.6451,TL
8.6932,1.6476,1.6817,6.1984,6.8434,TL
9.2341,1.5046,1.7415,6.4423,6.9271,TL
9.0144,1.4165,1.73,6.3737,6.5963,TL
8.5685,1.481,1.6411,5.942,6.4895,TL
9.3832,1.279,1.3384,6.5595,7.173,TL
9.2589,2.0477,1.8987,6.2107,6.5223,TL
8.9023,1.6436,1.5459,5.9426,6.5512,TL
9.2791,1.3462,1.5106,6.5522,6.9224,TL
9.2193,1.6225,2.1272,6.8044,6.9828,TL
8.9764,1.3286,1.8058,5.989,6.5269,TL
8.3321,2.0467,1.4804,5.5753,6.2485,TL
9.4044,1.4797,1.5507,6.5836,7.07,TL
9.4052,1.6643,2.0148,6.9039,7.2569,TL
9.063,1.3282,1.4045,5.7093,6.5642,TL
9.1043,1.9124,1.6724,6.2162,6.5881,TL
8.9265,1.5782,1.7945,5.9555,6.6687,TL
9.5988,1.3186,1.279,6.7788,7.0493,TL
9.0836,1.3919,1.7467,6.1838,6.8016,TL
8.2901,1.3242,1.4206,5.6522,6.2128,TL
9.1523,1.5314,1.7866,5.7504,7.1798,TL
8.4946,1.3414,1.8248,5.9465,6.3974,TL
8.0461,2.091,1.4245,5.2007,5.8314,TL
8.2313,1.3629,1.3186,5.2922,6.0079,TL
8.5381,1.3358,1.3585,5.5832,6.3223,TL
8.7141,2.1963,1.3985,5.9346,6.3573,TL
8.1354,1.3703,2.1455,4.9939,6.1459,TL
9.5241,1.6232,1.6336,6.8031,7.2065,TL
7.4563,1.4509,1.5898,4.9862,5.9177,Amg
7.5103,1.6236,1.7331,4.5341,6.0294,Amg
6.7777,1.4357,2.1505,4.1945,5.7633,Amg
7.4073,1.8135,1.7683,4.5375,6.8747,Amg
7.7476,1.279,2.262,4.7314,6.0877,Amg
8.1793,1.3266,1.4877,5.8556,6.0033,Amg
7.3254,1.6028,2.3334,3.4065,6.1555,Amg
7.314,2.5558,2.3387,5.1043,6.4232,Amg
6.5288,3.0833,1.2992,3.9124,5.1829,Amg
7.5665,1.8677,2.0036,4.3706,6.6376,Amg
7.9686,1.279,1.425,5.2974,5.9928,Amg
7.2042,2.6773,1.279,5.0128,6.2438,Amg
7.2553,1.279,2.3378,3.876,6.1322,Amg
7.5089,1.6071,1.5461,4.2914,6.7249,Amg
8.0842,1.5946,1.6045,4.986,6.7264,Amg
7.0555,1.279,1.279,3.8487,5.7889,Amg
8.0722,1.4282,1.3908,5.2816,6.5155,Amg
7.6118,1.6557,1.4725,4.9331,6.1185,Amg
8.4542,1.4432,1.5566,5.4068,6.8698,Amg
7.0709,1.279,1.279,4.2971,5.6921,Amg
9.1082,1.3432,1.7586,5.7767,6.4758,Amg
7.2716,1.5677,1.3901,4.8016,6.0509,Amg
7.939,1.279,1.8394,5.4251,5.8725,BF
8.1039,1.279,1.3734,5.6384,5.962,BF
7.9937,1.5206,1.7876,5.5291,6.4896,BF
7.1504,1.4213,1.5112,3.8258,5.1202,BF
9.0057,1.2992,1.351,6.479,6.8529,BF
8.4122,1.512,1.279,4.8386,7.2389,BF
7.9709,1.279,1.4966,5.086,6.3148,BF
8.4686,1.4539,1.458,5.5866,6.8791,BF
7.7186,1.486,1.474,4.8364,6.2729,BF
8.5552,1.4452,1.4721,5.9994,7.0014,BF
8.1496,2.89,1.4178,5.337,5.8092,GP
8.497,1.5706,1.5976,5.9395,6.3287,GP
8.1513,1.905,2.4061,5.2,6.1985,GP
8.0945,2.1272,1.4763,5.591,6.2311,GP
8.1311,1.279,1.279,5.5093,6.5976,GP
9.363,1.279,1.2992,6.8511,6.7806,GP
8.6372,1.3708,1.3957,5.8389,6.0897,GP
8.4507,1.3355,2.0038,5.4913,6.3341,GP
8.3591,1.3535,1.3866,5.5485,5.9911,GP
8.3473,1.279,1.279,5.4273,6.1228,GP
8.5501,1.3943,1.9847,5.7979,6.1337,GP
8.5255,1.3568,1.3724,5.2828,6.1161,GP
8.2012,1.279,1.4495,6.0007,6.2754,GP
8.2336,1.279,1.279,5.4644,6.487,GP
8.0516,1.3334,1.3382,5.0318,6.075,Str
7.8548,1.3715,1.6557,4.8625,6.1758,Str
7.9899,1.279,1.279,5.2792,6.609,Str
8.2337,1.626,1.373,5.0672,6.6829,Str
8.8364,1.9074,1.7511,5.9446,7.4648,Str
7.8536,1.3186,1.3788,4.7615,5.8623,Str
8.4385,1.4555,1.3788,5.1786,6.6215,Str
8.0847,1.482,1.7919,4.9837,6.1005,Str
8.296,1.3075,1.3077,5.2784,6.1898,Str
8.1688,1.6878,1.6565,5.2183,7.1866,Str
7.8092,1.7267,1.8393,4.8503,6.6814,Str
8.4922,1.5304,1.4747,6.3642,6.7635,Str
7.7455,1.279,1.3399,4.8625,6.0287,Str
7.3831,1.4283,1.8733,4.2102,5.9984,Str
7.681,1.5439,3.7937,4.2921,6.1564,Str
8.1629,1.279,2.515,4.452,6.1967,Str
8.0273,1.3186,2.0534,4.9145,5.7166,Str
7.8493,1.4373,1.7042,5.1755,6.0287,Str
7.6193,1.5916,1.9312,4.6249,5.7334,Str
7.549,1.2992,1.4838,4.7757,6.7248,Str
8.3528,1.4678,1.5276,4.9596,6.6807,Str
8.0604,2.88,1.279,5.3048,6.5398,Str
8.3217,1.7591,1.279,4.9233,6.8177,Str
7.5349,1.279,1.4055,4.4737,6.4756,Str
7.6896,1.6281,1.495,4.8055,6.5494,Str
7.9365,1.279,2.5037,5.3161,5.9154,Str
8.2865,1.279,1.279,4.965,6.2107,Str
7.4479,1.5848,1.7511,3.9764,6.0979,Str
8.6753,1.2992,1.3856,6.1337,7.0482,Str
7.7814,1.6246,1.6266,5.5402,6.0979,Str
9.1921,1.279,1.279,5.5754,6.8501,Str
7.9761,1.279,1.279,4.5294,5.717,Str
7.9574,1.3358,1.3308,5.0875,5.9199,Str
7.3202,1.3889,1.5969,4.0546,5.7195,Str
8.0039,1.3384,2.0748,4.9444,5.8327,Str
8.0122,1.9916,1.5646,4.4301,6.0985,Str
8.5115,1.4287,1.5982,5.5082,6.5271,Str
8.4469,1.3961,1.7641,5.3084,6.2647,Str
8.086,1.5061,3.4711,5.344,6.2624,Str
7.8255,1.279,1.279,4.7293,5.7468,Str
7.9151,1.3403,1.3176,5.1982,6.1635,Str
7.7755,1.279,1.3297,5.0105,5.9136,Str
8.0041,1.3551,1.8135,4.8401,6.0793,Str
8.2877,1.3355,1.3282,5.6464,6.187,Str
8.3326,1.3696,1.5706,5.2598,6.4668,Str
8.5211,1.279,1.279,5.2165,6.0495,Str
7.2824,1.6303,2.7409,4.8826,5.4313,Cl
7.9691,1.5964,1.6755,5.3855,5.9754,Cl
8.859,1.302,1.9322,6.0149,6.8383,Cl
7.7157,1.2992,1.279,4.4474,6.2872,Cl
8.6527,1.3885,1.5699,5.9865,6.2798,Cl
7.2625,1.9258,2.4817,4.429,6.3465,Cl
7.546,1.5668,1.4285,4.9638,5.6636,Cl
8.7287,1.279,1.279,6.3107,6.6546,Cl
8.9408,1.391,1.6363,6.3974,6.6543,Cl
8.9364,1.6246,1.8783,5.1548,6.3722,Cl
7.208,1.279,1.5312,4.0849,5.6817,Cl
8.2819,1.4372,1.279,4.9681,6.4397,ET
8.5524,1.279,1.279,5.6109,6.8103,ET
8.0098,1.5597,1.535,5.2104,6.4583,Hy
7.7331,1.4545,1.4334,5.1745,6.6076,Hy
8.1269,1.279,1.279,5.4403,6.4948,Hy
8.1219,1.6863,1.6911,5.4869,6.7006,Hy
7.2583,1.8331,1.3477,4.402,6.0922,Hy
7.5852,1.4041,1.279,4.7074,6.4247,Hy
7.0966,1.279,1.3382,4.3216,5.926,Hy
7.6419,2.3662,2.0601,4.7514,6.1245,Hy
7.4635,1.3737,1.4047,4.6949,6.1804,Hy
7.3875,1.3853,1.3122,4.1701,5.8542,Hy
8.4588,1.279,1.279,6.0802,6.8541,Hy
8.4409,1.3399,1.3401,5.9779,7.0532,Hy
10.2236,1.3246,1.279,6.998,7.8466,Hy
10.3654,1.3807,1.279,7.2022,8.0291,Hy
8.1002,1.279,1.3246,5.1546,6.3054,Hy
8.1336,1.3403,1.5525,5.3726,6.6827,Hy
8.0951,1.5702,2.2879,5.6055,6.2651,Hy
8.3444,1.6617,1.279,4.0243,6.8616,Hy
7.3443,1.4059,1.3904,3.3539,5.8251,Hy
