A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
9.5248,1.4767,1.4731,7.3754,7.8419,HiF
8.9499,1.5113,1.5578,7.1677,7.1482,HiF
8.8598,1.4731,1.4731,6.1682,6.4329,HiF
7.9176,1.7425,1.9021,6.1362,6.2441,HiF
10.0225,1.495,1.4731,7.5134,7.9201,HiF
9.093,1.4731,1.4731,7.1636,6.9052,HiF
8.2898,1.4767,1.4731,6.2437,6.2382,HiF
9.1501,1.4731,1.5738,6.8725,6.8417,HiF
8.0978,2.0119,2.0689,6.1375,6.3593,PHG
8.7795,1.666,2.537,6.033,6.8506,PHG
8.4484,2.068,2.0336,6.516,6.2391,PHG
7.2575,2.0151,1.9705,4.8157,5.9521,PHG
7.5777,1.7669,1.7969,4.5578,5.6748,PHG
8.2983,1.9471,1.8878,6.1256,6.4659,PHG
8.6214,1.6389,1.6451,6.1102,6.8378,PHG
8.1467,1.7038,1.9982,5.4291,5.8801,PHG
7.7701,1.8977,1.8748,5.5837,5.9744,PHG
8.0731,1.4957,1.495,5.6228,6.2171,PHG
9.3492,1.9498,1.9874,6.6,6.6981,PHG
7.5369,1.495,1.4767,4.4845,5.9063,PHG
8.2524,1.8672,1.9705,5.6287,6.226,PHG
8.1387,1.6221,1.8592,5.7069,6.2481,PHG
8.6666,1.891,3.3734,5.8424,6.7836,PHG
10.131,1.5096,1.8632,7.3961,7.6545,OL
10.0276,1.507,1.8287,6.9448,7.5355,OL
10.0473,1.502,1.5025,7.6511,7.7827,OL
9.7508,1.6557,1.8313,7.4499,7.5667,OL
10.3588,1.5675,1.6499,8.1533,7.9193,OL
9.2882,1.6273,1.6055,6.5369,6.9329,OL
10.2255,1.7718,1.8506,7.3109,7.308,OL
10.5104,1.4767,1.515,8.3578,7.9591,OL
10.4989,1.4731,1.5751,7.7631,7.7089,OL
10.2504,1.5572,1.5275,7.347,8.0174,OL
10.1162,1.5723,1.5293,7.1713,7.4068,OL
10.1,1.7051,1.9166,7.0858,7.4596,OL
10.1977,1.5523,1.7485,7.8273,7.7431,OL
9.7903,1.495,2.9141,6.6827,7.0524,OL
10.0993,1.975,2.3947,7.376,7.1945,OL
10.4344,1.5283,1.515,7.9759,7.8282,OL
10.1575,1.5296,1.5275,7.2662,7.4791,OL
10.3129,1.6768,1.85,7.5243,7.5822,OL
10.0273,1.495,2.3969,6.6676,7.2574,OL
10.2928,2.9427,1.4767,7.718,7.8923,OL
10.2328,1.5397,1.5288,7.4855,7.6867,OL
9.0,1.4927,1.4767,5.7648,6.5301,OL
9.2907,2.0359,2.0465,6.9139,7.0099,OL
9.782,1.5927,1.5593,7.16,7.2746,OL
9.1362,1.6008,1.645,6.4576,6.8469,OL
8.9156,1.495,1.5096,5.687,6.5283,OL
9.3329,1.6181,1.5776,6.5589,6.7985,OL
9.9,1.4731,1.9755,7.4231,7.5293,OL
9.2746,1.4927,2.1153,6.2963,6.7211,OL
9.3709,1.492,1.6133,6.5404,6.9737,OL
9.1292,1.5104,1.5697,5.9013,6.594,OL
9.28,1.6098,1.6053,6.2768,6.5509,OL
9.2798,1.5296,1.5583,7.0221,7.2069,OL
9.7032,1.6118,2.1547,7.0829,7.3777,OL
9.0893,1.5899,1.8112,6.5194,6.9966,PL
9.34,1.5585,2.9213,7.2309,7.4847,PL
9.7507,1.6762,1.7605,7.7955,7.9821,PL
